timestamp,condition,prompt_label,round,global_index,tokens,latency_sec,throughput_tok_sec,avg_power_watts,total_energy_joules,energy_source,joules_per_token,temp_end_c,throttle_reasons
2026-09-18T18:06:09.920985,vLLM FP16 Baseline (KV-cached),Poem,1,1,250,2.455885,101.8,443.07,1114.339,nvml_counter,4.457356,61,1024
2026-09-18T18:06:12.804245,vLLM FP16 Baseline (KV-cached),Physics,1,2,250,2.47239,101.12,443.82,1113.919,nvml_counter,4.455676,61,1024
2026-09-18T18:06:15.700343,vLLM FP16 Baseline (KV-cached),Code,1,3,250,2.48394,100.65,443.61,1113.193,nvml_counter,4.452772,61,1024
2026-09-18T18:06:18.616091,vLLM FP16 Baseline (KV-cached),Poem,2,4,250,2.493482,100.26,442.56,1113.101,nvml_counter,4.452404,61,1024
2026-09-18T18:06:21.529597,vLLM FP16 Baseline (KV-cached),Physics,2,5,250,2.497146,100.11,444.14,1114.932,nvml_counter,4.459728,61,1024
2026-09-18T18:06:24.402561,vLLM FP16 Baseline (KV-cached),Code,2,6,250,2.45733,101.74,444.03,1114.12,nvml_counter,4.45648,61,1024
2026-09-18T18:06:27.295764,vLLM FP16 Baseline (KV-cached),Poem,3,7,250,2.4745,101.03,442.89,1113.52,nvml_counter,4.45408,61,1024
2026-09-18T18:06:30.192274,vLLM FP16 Baseline (KV-cached),Physics,3,8,250,2.484208,100.64,444.34,1115.705,nvml_counter,4.46282,61,1024
2026-09-18T18:06:33.098745,vLLM FP16 Baseline (KV-cached),Code,3,9,250,2.491791,100.33,444.49,1115.076,nvml_counter,4.460304,61,1024
2026-09-18T18:06:36.023266,vLLM FP16 Baseline (KV-cached),Poem,4,10,250,2.500121,100.0,443.7,1116.674,nvml_counter,4.466696,61,1024
2026-09-18T18:06:38.941525,vLLM FP16 Baseline (KV-cached),Physics,4,11,250,2.501142,99.95,444.99,1116.834,nvml_counter,4.467336,61,1024
2026-09-18T18:06:41.804737,vLLM FP16 Baseline (KV-cached),Code,4,12,250,2.453298,101.9,444.38,1115.004,nvml_counter,4.460016,61,1024
2026-09-18T18:06:44.696931,vLLM FP16 Baseline (KV-cached),Poem,5,13,250,2.473046,101.09,442.93,1113.714,nvml_counter,4.454856,61,1024
2026-09-18T18:06:47.603809,vLLM FP16 Baseline (KV-cached),Physics,5,14,250,2.493327,100.27,443.6,1112.382,nvml_counter,4.449528,61,1024
2026-09-18T18:06:50.532328,vLLM FP16 Baseline (KV-cached),Code,5,15,250,2.509392,99.63,442.11,1110.581,nvml_counter,4.442324,61,1024
2026-09-18T18:06:53.476462,vLLM FP16 Baseline (KV-cached),Poem,6,16,250,2.514573,99.42,440.62,1109.465,nvml_counter,4.43786,61,1024
2026-09-18T18:06:56.350277,vLLM FP16 Baseline (KV-cached),Physics,6,17,250,2.456955,101.75,443.53,1069.658,nvml_counter,4.278632,61,1024
